PacketCounter	SampleTimeFine	Year	Month	Day	Second	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
00081						0.063610	-0.066514	0.018073	-0.056139	-0.001603	-0.034235	-0.118494	-4.741359	93.362648	-0.165362	-0.069338	-0.019614
00082						-0.029189	-0.079282	-0.093534	-0.037746	0.000330	-0.019448	-0.176997	-4.741375	93.333725	-0.164298	-0.070502	-0.020287
00083						-0.059701	0.023375	-0.079199	-0.022094	-0.003311	-0.007891	-0.209915	-4.742910	93.320755	-0.164242	-0.070602	-0.021568
00084						-0.156147	0.027970	-0.031442	-0.003545	-0.000988	-0.004039	-0.231348	-4.745008	93.313347	-0.165265	-0.069736	-0.022310
00085						-0.103228	0.003154	-0.037751	0.027383	-0.000420	-0.001296	-0.220752	-4.744899	93.306908	-0.166928	-0.068975	-0.022993
00086						-0.022700	-0.057118	-0.083175	0.021154	0.005356	0.001524	-0.200456	-4.740469	93.305122	-0.166466	-0.069562	-0.024292
00087						-0.094960	-0.043486	-0.046842	0.018079	0.016896	0.009127	-0.189190	-4.726889	93.312668	-0.166683	-0.070300	-0.025555
00088						-0.100667	0.050524	-0.004506	0.020079	0.024440	0.013712	-0.171485	-4.702485	93.328972	-0.167802	-0.069859	-0.025794
00089						0.000430	0.171921	0.041368	-0.027800	0.029574	0.004709	-0.187438	-4.670409	93.340179	-0.167349	-0.067029	-0.025315
00091						-0.133925	0.202077	0.015417	-0.052543	0.022753	-0.009895	-0.252239	-4.639060	93.336296	-0.168090	-0.062581	-0.024751
00092						-0.087657	0.151648	-0.025752	-0.021194	0.003698	-0.017618	-0.296861	-4.622214	93.318291	-0.170738	-0.058241	-0.024838
00093						-0.032365	0.061694	-0.044151	-0.019698	-0.006695	-0.020549	-0.320568	-4.622653	93.295753	-0.170651	-0.056189	-0.025477
00094						-0.125571	0.011470	-0.002870	-0.005749	-0.016522	-0.018560	-0.341311	-4.637105	93.273994	-0.171092	-0.055311	-0.025999
00095						-0.083302	-0.057501	-0.010423	0.024887	-0.016144	-0.018214	-0.330423	-4.657726	93.254562	-0.172671	-0.055705	-0.025734
00096						-0.010258	-0.125544	0.034715	0.013945	-0.008847	-0.011390	-0.309121	-4.673220	93.239983	-0.172194	-0.057425	-0.025506
00097						0.039525	-0.082841	0.017804	-0.023302	0.004820	-0.008886	-0.320054	-4.675626	93.230331	-0.171115	-0.059482	-0.024948
00098						-0.044193	-0.062404	0.016968	-0.058919	0.008304	-0.010862	-0.375884	-4.668055	93.220375	-0.170125	-0.061323	-0.024983
00099						-0.146823	-0.027480	-0.024867	-0.059116	0.013097	-0.012939	-0.449872	-4.654469	93.208977	-0.171438	-0.061884	-0.024960
00100						-0.166055	-0.033641	-0.040523	-0.031452	0.012951	-0.011431	-0.506491	-4.639825	93.194923	-0.173568	-0.062332	-0.025703
00101						-0.110418	-0.037862	-0.062440	0.002175	0.007104	-0.006049	-0.523073	-4.630495	93.183723	-0.175495	-0.063100	-0.026681
00102						-0.078634	-0.064891	-0.027189	0.007404	0.001127	0.000681	-0.523017	-4.623525	93.178856	-0.175916	-0.064368	-0.027789
00103						-0.150231	-0.012014	-0.000699	0.021047	0.000418	0.002594	-0.513379	-4.620176	93.181587	-0.177508	-0.065203	-0.028235
00105						-0.122712	0.040443	0.025486	0.022963	0.000688	-0.001434	-0.492472	-4.618143	93.184196	-0.179662	-0.064868	-0.027715
00106						-0.088489	0.046365	0.033587	-0.007775	0.001387	-0.012102	-0.492819	-4.616683	93.176682	-0.180546	-0.063574	-0.026783
00107						-0.118015	-0.005825	0.035751	-0.028279	0.001089	-0.017991	-0.524470	-4.617605	93.158096	-0.181015	-0.062865	-0.026294
00108						-0.197034	-0.073970	0.079823	0.001726	-0.000285	-0.017878	-0.545237	-4.619198	93.138268	-0.183606	-0.063614	-0.025283
00109						0.008984	-0.058315	0.052126	-0.012891	0.008895	-0.014850	-0.552861	-4.613785	93.120598	-0.183723	-0.064823	-0.023923
